company_id,year,source_opm,computed_opm,difference,valid
ICICIBANK,2015-03,-16120.0,70.52980132450331,16190.529801324503,False
ICICIBANK,2016-03,-26955.0,88.12358754680069,27043.1235875468,False
ICICIBANK,2017-03,-37737.0,104.76042008532984,37841.76042008533,False
ICICIBANK,2018-03,-44906.0,117.12300119043788,45023.12300119044,False
ICICIBANK,2019-03,-50971.0,116.38326248228724,51087.38326248229,False
ICICIBANK,2020-03,-45190.0,100.6188410580414,45290.61884105804,False
ICICIBANK,2021-03,-44805.0,102.40682794432668,44907.40682794432,False
ICICIBANK,2022-03,-26558.0,84.68770635278334,26642.687706352783,False
ICICIBANK,2023-03,-17341.0,72.57469004765956,17413.57469004766,False
ICICIBANK,2024-03,-14152.0,62.41380175029464,14214.413801750296,False
ICICIBANK,TTM,-31575.0,69.63240303293806,31644.632403032938,False
ICICIGI,2013-03,-178.0,104.46161515453637,282.4616151545364,False
ICICIGI,2014-03,-225.0,105.19301470588236,330.1930147058824,False
ICICIGI,2015-03,-221.0,105.24326877657062,326.24326877657063,False
ICICIGI,2016-03,764.0,87.33631692358695,676.663683076413,False
ICICIGI,2017-03,919.0,87.77925531914894,831.2207446808511,False
ICICIGI,2018-03,-262.0,103.79050925925925,365.79050925925924,False
ICICIGI,2019-03,1669.0,85.04882200125414,1583.9511779987458,False
ICICIGI,2020-03,1772.0,84.61404879742989,1687.3859512025701,False
ICICIGI,2021-03,2072.0,82.97015048104596,1989.029849518954,False
ICICIGI,2022-03,1016.0,93.660302009235,922.339697990765,False
ICICIGI,2023-03,1264.0,92.92906690534795,1171.070933094652,False
ICICIGI,2024-03,2577.0,87.42129155073948,2489.5787084492604,False
ICICIGI,TTM,3363.0,85.5671430410712,3277.432856958929,False
ICICIPRULI,2013-03,745.0,96.27965043695382,648.7203495630462,False
ICICIPRULI,2014-03,1504.0,93.12865497076024,1410.8713450292398,False
ICICIPRULI,2015-03,1655.0,95.1963544538937,1559.8036455461063,False
ICICIPRULI,2016-03,1842.0,91.16984028010936,1750.8301597198906,False
ICICIPRULI,2017-03,1806.0,95.22424370636767,1710.7757562936324,False
ICICIPRULI,2018-03,1771.0,95.44190358467245,1675.5580964153276,False
ICICIPRULI,2019-03,541.0,98.69522224634011,442.3047777536599,False
ICICIPRULI,2020-03,-319.0,101.51724137931035,420.51724137931035,False
ICICIPRULI,2021-03,-390.0,100.46885143420452,490.4688514342045,False
ICICIPRULI,2022-03,-2163.0,103.40444276634572,2266.4044427663457,False
ICICIPRULI,2023-03,-1757.0,103.48072427592219,1860.4807242759223,False
ICICIPRULI,2024-03,-1829.0,102.02531365231931,1931.0253136523193,False
ICICIPRULI,TTM,321.0,99.5861908936214,221.4138091063786,False
INDUSINDBK,2013-03,286.0,27.881999140770443,258.11800085922954,False
INDUSINDBK,2014-03,335.0,30.95468863581294,304.04531136418706,False
INDUSINDBK,2015-03,288.0,32.32562938505985,255.67437061494016,False
INDUSINDBK,2016-03,329.0,35.27628032345013,293.7237196765499,False
INDUSINDBK,2017-03,379.0,39.455782312925166,339.5442176870748,False
INDUSINDBK,2018-03,942.0,37.931832648573575,904.0681673514264,False
INDUSINDBK,2019-03,-437.0,41.70073222227214,478.7007322222721,False
INDUSINDBK,2020-03,-553.0,43.81405690859187,596.8140569085919,False
INDUSINDBK,2021-03,-2469.0,55.16206896551724,2524.1620689655174,False
INDUSINDBK,2022-03,-839.0,51.39186295503212,890.3918629550321,False
INDUSINDBK,2023-03,2067.0,42.68862736471624,2024.3113726352838,False
INDUSINDBK,2024-03,2978.0,38.55469091544986,2939.44530908455,False
INDUSINDBK,TTM,1323.0,41.02522243082197,1281.974777569178,False
JIOFIN,2023-03,88.0,86.66666666666667,1.3333333333333286,False
KOTAKBANK,2013-03,-1789.0,60.92452482007751,1849.9245248200775,False
KOTAKBANK,2014-03,-1379.0,58.84365092608043,1437.8436509260805,False
KOTAKBANK,2015-03,-3366.0,72.96343569337037,3438.9634356933702,False
KOTAKBANK,2016-03,-2263.0,56.567983531026364,2319.5679835310266,False
KOTAKBANK,2017-03,-3965.0,66.439706145852,4031.439706145852,False
KOTAKBANK,2018-03,-4141.0,66.86960327881899,4207.869603278819,False
KOTAKBANK,2019-03,-5114.0,66.2331132043847,5180.233113204385,False
KOTAKBANK,2020-03,-5005.0,67.44936368524826,5072.4493636852485,False
KOTAKBANK,2021-03,-9958.0,90.83485679463742,10048.834856794638,False
KOTAKBANK,2022-03,-8512.0,90.98426246999199,8602.984262469992,False
KOTAKBANK,2023-03,-5746.0,79.44058266707789,5825.440582667078,False
KOTAKBANK,2024-03,-13382.0,83.66733645109092,13465.667336451092,False
KOTAKBANK,TTM,-14146.0,79.42172888077062,14225.42172888077,False
SUNPHARMA,2024-03,28.0,26.84289749881436,1.1571025011856406,False
INDIGO,2013-03,855.0,90.7095512332935,764.2904487667065,False
INDIGO,2014-03,433.0,96.10506431591257,336.89493568408744,False
INDIGO,2015-03,1904.0,86.33393177737881,1817.666068222621,False
INDIGO,2016-03,3164.0,80.39653035935564,3083.6034696406446,False
INDIGO,2017-03,2219.0,88.06243272335846,2130.9375672766414,False
INDIGO,2018-03,3030.0,86.8381043395161,2943.161895660484,False
INDIGO,2019-03,-151.0,100.52988033828123,251.52988033828123,False
INDIGO,2020-03,4069.0,88.62009173285603,3980.379908267144,False
INDIGO,2021-03,2.0,99.97950959633904,97.97950959633904,False
INDIGO,2022-03,558.0,97.84813543635032,460.15186456364967,False
INDIGO,2023-03,6521.0,88.02483194357713,6432.975168056423,False
INDIGO,2024-03,16331.0,76.29890862649484,16254.701091373505,False
INDIGO,TTM,15908.0,79.1987028610283,15828.801297138973,False
